name,shipping_address,phone
Perf User 01,01 Le Loi Q1 TP.HCM,0912345001
Perf User 02,02 Le Loi Q1 TP.HCM,0912345002
Perf User 03,03 Le Loi Q1 TP.HCM,0912345003
Perf User 04,04 Le Loi Q1 TP.HCM,0912345004
Perf User 05,05 Le Loi Q1 TP.HCM,0912345005
Perf User 06,06 Le Loi Q1 TP.HCM,0912345006
Perf User 07,07 Le Loi Q1 TP.HCM,0912345007
Perf User 08,08 Le Loi Q1 TP.HCM,0912345008
Perf User 09,09 Le Loi Q1 TP.HCM,0912345009
Perf User 10,10 Le Loi Q1 TP.HCM,0912345010
Perf User 11,11 Le Loi Q1 TP.HCM,0912345011
Perf User 12,12 Le Loi Q1 TP.HCM,0912345012
Perf User 13,13 Le Loi Q1 TP.HCM,0912345013
Perf User 14,14 Le Loi Q1 TP.HCM,0912345014
Perf User 15,15 Le Loi Q1 TP.HCM,0912345015
Perf User 16,16 Le Loi Q1 TP.HCM,0912345016
Perf User 17,17 Le Loi Q1 TP.HCM,0912345017
Perf User 18,18 Le Loi Q1 TP.HCM,0912345018
Perf User 19,19 Le Loi Q1 TP.HCM,0912345019
Perf User 20,20 Le Loi Q1 TP.HCM,0912345020
Perf User 21,21 Le Loi Q1 TP.HCM,0912345021
Perf User 22,22 Le Loi Q1 TP.HCM,0912345022
Perf User 23,23 Le Loi Q1 TP.HCM,0912345023
Perf User 24,24 Le Loi Q1 TP.HCM,0912345024
Perf User 25,25 Le Loi Q1 TP.HCM,0912345025
Perf User 26,26 Le Loi Q1 TP.HCM,0912345026
Perf User 27,27 Le Loi Q1 TP.HCM,0912345027
Perf User 28,28 Le Loi Q1 TP.HCM,0912345028
Perf User 29,29 Le Loi Q1 TP.HCM,0912345029
Perf User 30,30 Le Loi Q1 TP.HCM,0912345030
